Product_name,Rating,Base_Price,MRP
Xiaomi 125 cm (50 inches) X Series 4K LED Smart Google TV L50MA-AUIN (Black),2.5 out of 5 stars,33999,49999
Vu 139cm (55 inches) Vibe Series QLED 4K Google TV 55VIBE24 (Black),4.5 out of 5 stars,39990,60000
VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),3.8 out of 5 stars,7499,16999
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),3.8 out of 5 stars,6799,12999
VW 80 cm (32 inches) Linux Series Frameless HD Ready Smart LED TV VW32C2 (Black) | with 18 Months Warranty,4.0 out of 5 stars,7999,16999
"D&V ENGINEERING - Creative in innovation Metal Mobile TV Stand on Wheels for 32-55 Inch Flat/Curved Panel Screens TVs - Height Adjustable Floor Trolley Stand Holds up to 58 Kg, (Design 1)",4.3 out of 5 stars,5687,999
Mi 108 cm (43 inches) X Series 4K Ultra HD Smart Google TV L43M8-A2IN (Black),4.2 out of 5 stars,23999,42999
Xiaomi Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),4.1 out of 5 stars,13990,24999
VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW32F5 (Black),4.2 out of 5 stars,8499,17999
TCL 101 cm (40 inches) Mettalic Bezel-Less Full HD Smart Android LED TV 40L4B (Black),3.9 out of 5 stars,17990,35990
VW 109 cm (43 inches) Linux Series Frameless Full HD Smart LED TV VW43S1 (Black),4.0 out of 5 stars,13999,25999
Acer 80 cm(32 inches) Advanced N series HD LED TV AR32NSV53HDFL (Black),3.9 out of 5 stars,8499,14999
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),4.1 out of 5 stars,15240,18900
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),4.3 out of 5 stars,14490,21990
Redmi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),4.1 out of 5 stars,13490,24999
Xiaomi 138 cm (55 inches) X Pro 4K Dolby Vision IQ Series Smart Google TV L55M8-5XIN (Black),4.1 out of 5 stars,46999,69999
Xiaomi 165 cm (65 inches) X Series 4K Ultra HD Smart Google TV L65M8-A2IN (Black),4.2 out of 5 stars,61999,89999
TCL 80.04 cm (32 inches) Metallic Bezel-Less HD Ready Smart Android LED TV 32L4B (Black),3.9 out of 5 stars,10990,20990
Vu 126cm (50 inches) Vibe Series QLED Google TV 50VIBE24 (Black),4.5 out of 5 stars,32990,50000
Vu 139cm (55 inches) Vibe Series QLED 4K Google TV 55VIBE24 (Black),4.5 out of 5 stars,39990,60000
Xiaomi 138 cm (55 inches) X Series 4K LED Smart Google TV L55MA-AIN (Black),2.5 out of 5 stars,37999,54999
VW 109 cm (43 inches) Linux Frameless Series Full HD Smart LED TV VW43C3 (Black) | with 18 Months Warranty,4.0 out of 5 stars,14999,29999
Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74L (Black),4.8 out of 5 stars,57990,99900
Acer 139 cm (55 inches) Advanced I Series 4K Ultra HD Smart LED Google TV AR55GR2851UDFL (Black),4.0 out of 5 stars,32999,59999
Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),4.1 out of 5 stars,25990,40400
TOSHIBA 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35MP (Black),4.0 out of 5 stars,20999,34990
TCL 80.04 cm (32 inches) Metallic Bezel-Less S Series Full HD Smart LED Google TV 32S5500 (Black),3.9 out of 5 stars,13990,23990
LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ643BPTA (Black),4.3 out of 5 stars,14990,30990
Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W820K (Black),4.7 out of 5 stars,23990,34900
VU 126 cm (50 inches) The GloLED Series 4K Smart LED Google TV 50GloLED (Grey),4.4 out of 5 stars,32999,55000
Redmi Xiaomi 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV L43R8-FVIN (Black),4.2 out of 5 stars,23999,42999
