S.No,TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS,,
0,     Chennai Super Kings  ,"1,00,00,000",8,25,,
1,     Delhi Capitals  ,"9,90,00,000",8,25,,
2,     Gujarat Titans  ,"7,85,00,000",8,25,,
3,     Kolkata Knight Riders  ,"1,35,00,000",8,23,,
4,     Lucknow Super Giants  ,"95,00,000",8,25,,
5,     Mumbai Indians  ,"1,05,00,000",8,25,,
6,     Punjab Kings  ,"4,15,00,000",8,25,,
7,     Rajasthan Royals  ,"20,00,000",8,22,,
8,     Royal Challengers Bengaluru  ,"2,85,00,000",8,25,,
9,     Sunrisers Hyderabad  ,"3,20,00,000",8,25,,
,,,,,,
,Total Fund,"32,50,00,000",,,,
,Average Fund,"3,25,00,000",,,,
,Max fund,"9,90,00,000",,,,
,Min Fund,"20,00,000",,,,
